,features,r2_train,r2_test,totals_effect,nonlinear,interactions,rho_X,int_X,rho_U,int_U,N,cos_sim,correlation
0,2,0.8533561188035361,0.5706359404195653,0.75,1,0,0.5,1,0.5,2,30,0.9838864809354737,1.0
1,5,0.7577320567517871,0.18512512125945746,0.75,1,2,0.0,1,0.0,2,30,0.8090326373579168,0.5400285069453219
2,10,0.726835020511506,0.27191919075031046,0.75,0,0,0.0,1,0.5,2,50,0.9744956230404226,0.9526043641601375
3,5,0.7736511899353318,-0.9352646614388194,0.75,0,2,0.5,1,0.5,2,30,0.8590072176197344,0.7917539815469925
4,10,0.8597846734673912,0.49393632548910393,0.75,0,2,0.5,1,0.5,2,30,0.167593211059722,-0.154441979528352
5,10,0.5599235629014656,0.6157034365464624,0.75,3,2,0.0,1,0.5,2,100,0.38543786849066675,0.20590327173564238
6,10,0.6567914787712901,-4.381343811799048,0.25,1,2,0.0,1,0.5,2,30,0.5653904270286048,0.23907643629458233
7,5,0.6529894515265335,0.6230028546551407,0.75,1,1,0.5,1,0.5,2,50,0.708783174903417,-0.38134946705012546
8,5,0.8156669479782264,0.7769362035042364,0.75,3,0,0.5,1,0.5,2,50,0.965410709076045,0.9468464063759531
9,10,0.7322247098190251,0.7236316645229579,0.75,1,2,0.5,1,0.5,2,100,0.7032993993196285,0.5813681582017983
10,5,0.6988371892800818,0.7427625843058085,0.75,3,0,0.5,1,0.5,2,30,0.4766380548241258,-0.2651538696908749
11,10,0.7798183081608545,0.7313999629378198,0.75,3,1,0.5,1,0.0,2,50,0.603044564833621,0.48455597276306966
12,10,0.6305239781692229,0.2674077243818652,0.5,0,0,0.0,1,0.5,2,30,0.8469766866247299,0.7596203261269803
13,2,0.2260777760944268,0.1984500171633956,0.25,1,1,0.5,1,0.5,2,100,0.8965720731750885,-0.9999999999999999
14,10,0.737381829853056,0.5327639152357111,0.75,3,1,0.5,1,0.5,2,50,0.8085392045718995,0.7735385241872229
15,5,0.7328051125171665,0.8972951371433717,0.5,1,0,0.0,1,0.0,2,30,0.7955073925441168,0.6070670251558984
16,10,0.6321382544561329,0.30826850070172596,0.75,1,0,0.0,1,0.0,2,30,0.864836363846218,0.7575092276410286
17,5,0.6075982495673675,-1.8665342238555191,0.25,1,1,0.0,1,0.0,2,50,0.3328383974128856,-0.683475119501292
18,5,0.6945115966642161,0.12083515448557058,0.75,1,2,0.0,1,0.5,2,50,0.5481578235873916,0.1934819160634057
19,10,0.6154326378000106,-0.5737569115546544,0.5,3,1,0.0,1,0.0,2,50,0.29398007052078334,-0.28114186181578293
20,2,0.6546408358409721,0.4911090888496903,0.5,0,1,0.5,1,0.5,2,50,0.9369879187336635,-0.9999999999999999
21,10,0.6182997715990535,-0.48666128345162085,0.25,3,0,0.5,1,0.0,2,30,0.5517738654251592,0.10311118644758259
22,5,0.08479023732311075,-0.06340428268375642,0.25,0,2,0.0,1,0.5,2,100,0.8399915483418824,0.6221600341810347
23,10,0.7044506413768079,0.5502372790747213,0.5,3,2,0.0,1,0.5,2,30,0.5749236377696187,0.07154334224882256
24,2,0.5565941992574714,0.10943133262666782,0.25,0,1,0.5,1,0.5,2,30,0.997870515585869,0.9999999999999998
25,2,0.556247280003539,-3.0984309863616444,0.25,0,0,0.0,1,0.5,2,30,0.9995951386047061,1.0
26,10,0.4603803657379616,0.5045008995433469,0.5,3,0,0.5,1,0.0,2,100,0.5634240316007099,0.36329605132785225
27,10,0.5255852329880719,0.13028067038179958,0.5,0,2,0.5,1,0.5,2,100,0.24077353100290358,-0.2560130224154797
28,10,0.6390280985958126,0.17048637007514422,0.75,3,2,0.0,1,0.0,2,100,0.778951276140158,0.6848323787201613
29,5,0.7684703337580507,-0.0030380790695538895,0.75,1,0,0.5,1,0.5,2,30,0.9172786764171474,0.920314076771541
30,10,0.7265131778377166,-2.836964461681274,0.5,0,1,0.0,1,0.0,2,30,0.3973748742522355,-0.00798039178728409
31,2,0.358933595252968,-0.5147388493148974,0.5,1,1,0.0,1,0.5,2,50,0.6506477474416258,-1.0
32,5,0.5455729567114598,0.46984298283224457,0.5,1,0,0.5,1,0.0,2,100,0.9336035756369814,0.871817429976787
33,5,0.7680993304089961,-0.17049132780501486,0.75,3,0,0.5,1,0.0,2,30,0.47852509622404155,-0.10210246939849497
34,5,0.47602464626858965,0.13558215003257146,0.5,0,2,0.5,1,0.0,2,100,0.35142048723509833,-0.19465906005362274
35,5,0.4485842886412309,0.08132976341242282,0.5,1,0,0.5,1,0.0,2,100,0.5381017226831941,0.31859899792349505
36,5,0.5352969579730742,-26.151674903655604,0.5,3,1,0.0,1,0.0,2,30,0.5559135789039833,-0.2890032490665321
37,10,0.5329985718046033,-0.16173864865092957,0.75,0,2,0.0,1,0.0,2,100,0.40246730009117065,0.038744694363908
38,10,0.35222680636043857,-0.32530546272258754,0.25,3,0,0.5,1,0.0,2,100,0.6906491429525534,0.5304256257462638
39,2,0.7136832718022423,-1.7447750334296082,0.75,1,1,0.0,1,0.5,2,50,0.9241866310761458,-1.0
40,2,0.2096729233397865,-0.4830478894312442,0.25,0,0,0.5,1,0.5,2,100,0.9998338087395078,1.0
41,5,0.6419691518670676,-1.5312759612809206,0.5,0,1,0.0,1,0.5,2,30,0.753918261028547,0.37146443908100624
42,2,0.5003936574013712,0.035174885269024014,0.25,0,0,0.0,1,0.0,2,30,0.9654712601066904,1.0
43,5,0.42668979314286803,0.14686843208768996,0.5,0,1,0.5,1,0.0,2,100,0.32263497569425875,-0.4116949769137686
44,5,0.5594380340366794,-0.009049064550782804,0.75,0,2,0.0,1,0.5,2,100,0.36172593599701486,-0.4055713740882179
45,10,0.34338547980579337,0.17584977248126532,0.25,3,0,0.0,1,0.0,2,100,0.33999975132242366,-0.08792565873026245
46,5,0.6201362440662503,-0.03099059936159687,0.25,1,0,0.5,1,0.5,2,30,0.32864997543844426,-0.6239210349317708
47,10,0.5229543418917604,-0.7470513618977379,0.25,3,2,0.5,1,0.0,2,50,0.3769422843307687,-0.31548301255047556
48,10,0.7566501476930763,0.7234596332101177,0.75,3,1,0.5,1,0.5,2,50,0.8164130834899715,0.8417360230252672
49,5,0.5575100996395832,-0.19167708143605,0.25,0,0,0.5,1,0.5,2,50,0.7218394466537863,0.3352214961390116
50,5,0.5673359687795613,-0.1628526805785906,0.25,0,1,0.5,1,0.0,2,50,0.7396882024637776,0.38746384703610104
51,5,0.5841998088016576,-1.7027918018821104,0.25,0,0,0.0,1,0.0,2,30,0.5201223899611623,-0.447194913317108
52,10,0.6176020859160711,0.3690417546433655,0.5,1,1,0.0,1,0.0,2,50,0.22582483183293064,-0.09425682513870469
53,5,0.7041075204178107,0.04154473402905823,0.5,1,0,0.5,1,0.5,2,50,0.5980108559965701,0.21436617505020952
54,10,0.7130836697281031,-0.03291568682175239,0.5,1,0,0.5,1,0.0,2,30,0.7817564788700414,0.49737957221452495
55,5,0.46207276855369783,0.14914055791462677,0.5,3,2,0.5,1,0.5,2,100,0.7551395837590394,0.25447682212321726
56,10,0.8321822756401204,0.37951847300223907,0.5,1,2,0.5,1,0.5,2,30,0.5097493215444396,0.07445488060196936
57,5,0.4279164258296242,-0.1036973903047198,0.75,1,2,0.5,1,0.5,2,100,0.9224772485946513,0.7185558507682496
58,10,0.26282192636331503,-0.1917262598303393,0.25,0,1,0.0,1,0.0,2,100,0.7864123581090422,0.6801825378549143
59,10,0.6483852351962263,0.50107848959612,0.75,1,1,0.5,1,0.5,2,100,0.7820053307740152,0.7616608510041433
60,10,0.7426975407417389,-1.6106906266233034,0.75,1,2,0.0,1,0.5,2,30,0.6708459104754981,0.34210249732143605
61,5,0.33036956716180654,0.0010852714068185776,0.25,1,0,0.5,1,0.5,2,100,0.24651142172342946,-0.8004641630543886
62,10,0.6395459384186919,0.23659687429708276,0.5,0,1,0.5,1,0.5,2,100,0.33590359473293346,0.12028836589888489
63,5,0.7253989264774998,-0.1099396112388138,0.25,1,0,0.5,1,0.5,2,30,0.3009216993908477,-0.45918701032155074
64,5,0.6568731960437306,-4.496109412699554,0.25,1,1,0.0,1,0.5,2,50,0.6042759369248711,-0.15205769346538534
65,2,0.7653149394117047,0.2903540590869814,0.75,0,0,0.0,1,0.5,2,50,0.9749527256847486,1.0
66,2,0.49089930284738204,0.5187841458333216,0.5,1,1,0.5,1,0.5,2,100,0.8319877471863859,1.0
67,5,0.8520130296632211,0.8184869693247807,0.75,1,0,0.5,1,0.5,2,50,0.928614888548264,0.9246179950930906
68,5,0.723349390126001,0.5984334261947752,0.75,0,1,0.5,1,0.5,2,100,0.9904944214448296,0.9945121119208494
69,5,0.6913633585639021,0.3681332347258903,0.5,1,1,0.5,1,0.5,2,50,0.9427440753663343,0.9132472872270394
70,10,0.6653927646989121,0.16059523052689006,0.25,0,0,0.5,1,0.0,2,30,0.8586327890321026,0.6832100872650171
71,10,0.716947020493328,0.43142662667436615,0.75,0,0,0.5,1,0.5,2,100,0.9049991133420379,0.8412555127514942
72,10,0.8074397448874457,0.9104187857894271,0.75,3,0,0.5,1,0.5,2,30,0.6361168947679092,0.3970236468363299
73,2,0.20955999281920967,0.06957585990974113,0.5,1,1,0.5,1,0.5,2,100,0.7901388756720492,-0.9999999999999998
74,5,0.6532842435754023,0.34683261779466656,0.75,1,0,0.5,1,0.5,2,100,0.889590194915435,0.8189353224522838
75,5,0.2611273330210264,-0.03109786862722408,0.25,1,1,0.5,1,0.5,2,100,0.6922124927456965,0.32199546550204583
76,10,0.6522175802068098,-0.283959351012248,0.75,3,1,0.5,1,0.0,2,30,0.37930583429973413,-0.16710492884088315
77,5,0.5623277269912769,-1.9200191537662783,0.75,3,0,0.5,1,0.5,2,50,0.16148504001779243,-0.6977951531948537
78,5,0.7294288479336737,0.5763442882750123,0.75,1,1,0.5,1,0.5,2,50,0.48994182615378606,-0.033372624616466
79,10,0.5410488217304633,-0.2447999197818549,0.25,1,1,0.5,1,0.5,2,100,0.3296441912704144,-0.2653861769148349
80,2,0.7339774169653142,-0.3984312376434389,0.75,0,1,0.0,1,0.5,2,30,0.945899599002054,1.0
81,2,0.6268910459810231,-1.5723912641806188,0.75,1,0,0.5,1,0.0,2,50,0.2554845913322882,-1.0
82,5,0.4078582929415221,0.13086272388517595,0.25,0,0,0.5,1,0.5,2,100,0.8369497184378542,0.6182135394620425
83,5,0.8242793036026369,0.40605494988260393,0.75,0,2,0.5,1,0.0,2,30,0.9625340142270528,0.9728019338529629
84,5,0.4554938661416664,-0.20107112970366603,0.5,3,2,0.0,1,0.0,2,50,0.8559328156813506,0.7578567134676195
85,5,0.4873573970000977,-8.146853073342282,0.25,0,0,0.0,1,0.0,2,50,0.959750720898715,0.9428950693337834
86,10,0.7165088977259824,-0.09558617838505223,0.25,1,1,0.5,1,0.5,2,50,0.18816937521900057,-0.14103218096131662
87,5,0.3324924639066059,0.058033470875962,0.5,3,0,0.5,1,0.0,2,100,0.8293826318375275,0.3696928899714286
88,5,0.5477407915384293,0.2577636065090243,0.5,0,2,0.0,1,0.0,2,50,0.9348684606250954,0.7744750816007354
89,2,0.8115375151729782,0.5762698316733179,0.75,1,1,0.5,1,0.0,2,30,0.9543345670490821,1.0
90,5,0.6438647051839532,0.5765095797597402,0.25,3,2,0.5,1,0.0,2,30,0.6559233739527226,0.07976355054237759
91,5,0.8244596509509752,0.8957328218225127,0.75,1,1,0.5,1,0.5,2,30,0.5105399595043099,-0.026396944679126337
92,5,0.6119584767175249,0.3126775187803763,0.75,1,2,0.5,1,0.0,2,100,0.4715121730764232,-0.09326696210147269
93,5,0.5726143129081933,-3.1760778492358472,0.25,3,2,0.5,1,0.5,2,30,0.5161331593184814,-0.25851526603234115
94,10,0.6179416731419562,-0.9133310382566866,0.75,0,1,0.0,1,0.5,2,50,0.8331915535030671,0.7450114274771653
95,10,0.853956573597854,-2.1711976067389442,0.75,0,0,0.5,1,0.0,2,30,0.38049419945603075,0.1728240754011018
96,5,0.482516426754939,0.14915151703794005,0.5,1,0,0.0,1,0.0,2,100,0.9903539078280358,0.9973770240280482
97,10,0.8189376907961767,0.8793568140445742,0.75,1,1,0.5,1,0.5,2,30,0.7928753917854665,0.8095104061891824
98,5,0.75786305410219,0.26159698582011714,0.75,0,2,0.5,1,0.5,2,50,0.9591385953540735,0.9584572775146103
99,5,0.7649875097459381,0.7249714702610066,0.75,3,0,0.5,1,0.5,2,100,0.9315000574858429,0.9401356541757279
